,TIMESTAMP,SYMBOL,SERIES ,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,ISIN,GAIN
1,2022-11-28,STCINDIA,EQ,87.0,105.3,87.0,104.85,105.3,87.75,1410058,139224346.15,12736,INE655A01013,0.2051724137931034
2,2022-11-29,COMP-RE,BE,2.05,2.85,2.0,2.8,2.8,2.05,880677,2426894.95,1230,INE070C20011,0.3658536585365854
3,2022-11-30,HLVLTD,EQ,11.1,13.2,10.9,13.2,13.2,11.0,5104295,64341771.55,4403,INE102A01024,0.18918918918918917
4,2022-12-01,PREMIERPOL,EQ,90.65,110.5,90.65,110.4,110.5,92.1,580550,62537210.55,3655,INE309M01012,0.21787093215664644
5,2022-12-02,SKIPPER,EQ,90.1,108.65,90.1,108.65,108.65,90.55,3088619,326949979.65,12148,INE439E01022,0.2058823529411766
6,2022-12-05,YAARI,EQ,22.35,26.55,22.35,26.55,26.55,22.15,5411547,137650383.3,9708,INE126M01010,0.18791946308724827
7,2022-12-06,UNIVASTU,EQ,78.0,94.55,77.0,94.55,94.55,78.8,1747093,163964331.95,2996,INE562X01013,0.21217948717948715
8,2022-12-07,BLBLIMITED,EQ,19.4,23.55,19.4,23.55,23.55,19.65,317313,7236539.4,925,INE791A01024,0.213917525773196
9,2022-12-08,NIFTYBEES,EQ,176.5,203.8,176.5,203.62,203.8,202.87,1374081,279244677.96,18415,INF204KB14I2,0.15365439093484423
10,2022-12-09,VAISHALI,EQ,124.0,146.9,122.95,146.85,146.9,122.45,2299118,321305959.4,26402,INE972X01014,0.18427419354838706
11,2022-12-12,BLBLIMITED,EQ,20.9,24.6,20.35,24.0,24.3,20.6,520066,12330538.25,2698,INE791A01024,0.14832535885167472
12,2022-12-13,PALASHSECU,EQ,95.6,116.25,95.6,116.25,116.25,96.9,20583,2347035.1,233,INE471W01019,0.2160041841004185
13,2022-12-14,ONELIFECAP,EQ,13.55,16.05,12.25,16.05,16.05,13.4,396800,6228054.15,941,INE912L01015,0.18450184501845018
14,2022-12-15,FACT,EQ,186.15,223.9,184.0,223.8,223.9,186.6,20725266,4334523056.5,136660,INE188A01015,0.20225624496373895
15,2022-12-16,SAKHTISUG,EQ,23.9,28.7,23.8,28.7,28.7,23.95,6449909,177136224.3,12947,INE623A01011,0.20083682008368206
16,2022-12-19,GOCLCORP,EQ,344.5,413.0,344.5,406.8,404.9,344.5,904088,354676365.55,27776,INE077F01035,0.18084179970972428
17,2022-12-20,JAIBALAJI,EQ,49.05,58.55,49.05,58.55,58.55,48.8,3080022,172145397.95,12809,INE091G01018,0.19367991845056065
18,2022-12-21,BALPHARMA,EQ,87.45,102.4,86.65,99.4,98.65,86.7,644252,63417578.35,9048,INE083D01012,0.1366495140080046
19,2022-12-22,SECL,SM,306.1,369.75,302.55,369.75,369.75,336.15,58750,20472000.0,43,INE00Y701018,0.20793858216269184
20,2022-12-23,INDSWFTLTD,EQ,9.5,11.25,9.1,11.25,11.25,9.4,492455,5317338.55,1151,INE788B01028,0.18421052631578946
